text1,label1,text2,label2
"The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.
",2,"Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses.
",0
"Until now, the differences between commercial, governmental and other types of identity were easily distinguished in every internet address by .com, .gov and 20 other categories.
",2,"Until now, the differences between commercial, governmental and other types of identity were easy to see in every internet address by the use of .com, .gov and 20 other categories.
",0
"Amazon has applied for dozens of new domains, including .shop, .song, .book and .kindle.
",2,"Amazon has applied for many new domains, including .shop, .song, .book and .kindle.
",0
"Allowing private companies to register geographical names as gTLDs to reinforce their brand strategy or to profit from the meaning of these names does not serve, in our view, the public interest, the Brazilian Ministry of Science and Technology said.
",2,"Allowing private companies to register geographical names as gTLDs to profit from the meaning of these names is not, in our view, in the public interest, the Brazilian Ministry of Science and Technology said.
",0
"Brazil said its views were endorsed last month by other members of the Amazon Cooperation Treaty (Bolivia, Colombia, Ecuador, Guyana, Suriname and Venezuela).
",2,"Brazil said other members of the Amazon Cooperation Treaty support its views (Bolivia, Colombia, Ecuador, Guyana, Suriname and Venezuela).
",0
"Argentina has lodged an expression of its unhappiness that the US outdoor clothing retailer, Patagonia, is claiming a domain name that has been known far longer as a region of spectacular beauty that also has its own parliament.
",2,"Argentina is unhappy that the US outdoor clothing retailer, Patagonia, wants a domain name that has been known far longer as a region of spectacular beauty.
",0
"Argentina rejects the .patagonia request for a new generic top-level domain, the government notes in an appeal.
",2,"Argentina rejects the .patagonia request for a new generic top-level domain.
",0
"Patagonia is a relevant region for the countrys economy because it has oil, fishing, mining and agriculture resources.
",2,"Patagonia is an important region for the countrys economy because it has oil, fishing, mining and agriculture resources.
",0
"But Bartho Boer, a spokesman for the Mayor, denies that the plans are illiberal.
",2,"Bartho Boer, a spokesman for the Mayor, says that the plans are not illiberal.
",0
"We want everyone to be who he and she is  whether they are gay and lesbian or stand up to violence and are then victims of harassment.
",2,"We want everyone to be who he and she is  whether they are gay and lesbian or try to stop violence and are then victims of harassment.
",0
"We as a society want to defend them.
",2,"We want to defend them.
",0
"It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.
",2,"They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area.
",0
"They are taken care of so the whole situation is not going to repeat at the new house they are in, says Boer. 
",2,"We will take care of them so the whole situation is not going to repeat at the new house they are in, says Boer. 
",0
"She has now exploded into the public consciousness with an album and a huge hit single, Show das Poderosas, which topped the charts and attracted 52 million YouTube views.
",2,"She now has an album and a huge hit single, Show das Poderosas, which was number one in the charts and attracted 52 million YouTube views.
",0
"This is a sensitive topic in this largely mixed-raced nation.
",2,"This is a sensitive topic in this mixed-raced country.
",0
"In Brazilian cities, white workers earn roughly twice as much as those of African descent.
",2,"In Brazilian cities, white workers earn twice as much as workers of African descent.
",0
"Maycon de Mattos Batista, a financial analyst who worked with Anitta while she was an intern, said there had been a huge change in Anittas image, but not of her colour.
",2,"Maycon de Mattos Batista, a financial analyst who used to work with Anitta, said there has been a huge change in Anittas image, but not of her colour.
",0
"I dont believe its whitening; its more the way they are producing her with makeup, hairstylists and the way she dresses, he said.
",2,"I dont believe she is whiter; its more the makeup, hairstylists and the way she dresses, he said.
",0
"Oxfam said the worlds poorest could be lifted out of poverty several times over if the richest 100 billionaires would give away the money they made in 2012.
",2,"Oxfam said the world could end poverty several times over if the richest 100 billionaires would give away the money they made in 2012.
",0
"In China, the top 10% now take home nearly 60% of the income.
",2,"In China, the top 10% now earn nearly 60% of the income.
",0
"Chinese inequality levels are now similar to those in South Africa, which is now the most unequal country on Earth and significantly more unequal than at the end of apartheid.
",2,"Chinese inequality levels are now similar to those in South Africa, which is now the most unequal country on Earth.
",0
"In the US, the share of national income going to the top 1% has doubled since 1980 from 10 to 20%, the report says.
",2,"In the US, the share of national income that goes to the top 1% of people has doubled since 1980 from 10% to 20%, the report says.
",0
"Oxfam said world leaders should learn from countries such as Brazil, which has grown rapidly while reducing inequality.
",2,"Oxfam said world leaders should learn from countries such as Brazil, which has grown quickly and reduced inequality at the same time.
",0
"She said closing tax havens, which the Tax Justice Network says hold as much as $31 trillion, or as much as a third of all global wealth, could yield $189bn in additional tax revenues. 
",2,"She said closing tax havens, which hold as much as $31 trillion, or as much as a third of all global wealth, could collect $189bn in additional taxes.       
",0
"Back in 2005, when BlackBerry brought instant messaging to the mobile phone, the company was just entering its boom times.
",2,"In 2005, BlackBerry brought instant messaging to the mobile phone and the company was just entering its period of success.
",0
"Free to download and use, they use the internet to swap text messages, pictures, voice clips, stickers, and even videos in WhatsApps case, between most types of phones.
",2,"They are free to download and use, and they use the internet to swap text messages, pictures, voice clips, stickers and even videos between most types of phones.
",0
"The move to bring BlackBerry to the iPhone is four or five years too late, says James Gooderson, an 18-year-old student who blogs on technology.
",2,"The move to bring BlackBerry to the iPhone is four or five years too late, says James Gooderson, a technology blogger.
",0
"BBM claims 80 million monthly users after its upgrade, but WhatsApp has 300 million.
",2,"BBM says it has 80 million monthly users after its upgrade, but WhatsApp has 300 million.
",0
"Even the contacts and calendar sharing that BBM made possible on BlackBerry handsets have not migrated to the Apple and Android versions.
",2,"Even the contacts and calendar sharing that BBM made possible on BlackBerry phones are not on the Apple and Android versions.
",0
"Nearly 80% of young smartphone owners regularly use a social networking application, says the research firm Enders Analysis, but two-thirds use more than one.
",2,"Nearly 80% of young smartphone owners regularly use a social networking application but two-thirds use more than one.
",0
"Its a much more complex, multifaceted environment, says Benedict Evans, a digital media specialist at Enders.
",2,"Its much more complex, says Benedict Evans, a digital media specialist.
",0
"He keeps his BlackBerry for messaging, uses an iPhone over wi-fi to play games and makes phone calls on an HTC-branded Android phone.
",2,"He keeps his BlackBerry for messaging, he uses an iPhone to play games, and he makes phone calls on an Android phone.
",0
"South American Indians have chewed coca 3 leaves for centuries.
",2,"South American Indians have chewed coca 3 leaves for hundreds of years.
",0
"The right of indigenous communities in South 6 Americas Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed up to the convention.
",2,"The right of indigenous people in South 6 Americas Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed the convention.
",0
"The growing of coca leaves is legal and licensed 12 in Bolivia.
",2,"It is legal to grow coca leaves in Bolivia.
",0
