text1,label1,text2,label2
"The last time she took to the stage, the prototype
of the mobile phone was undergoing its first trials.
Thirty-five years later, as she performs once
again, singer Kate Bush is faced with a
different world.",2,"The last time she performed, we did not have
mobile phones. Now, 35 years later, as she
performs again, singer Kate Bush sees a very
different world.",0
"The last time she took to the stage, the prototype
of the mobile phone was undergoing its first trials.
Thirty-five years later, as she performs once
again, singer Kate Bush is faced with a
different world.",2,"The last time she went on stage, the mobile
phone was having its first trials. Thirty-five years
later, as she performs once again, singer Kate
Bush is faced with a different world.",1
"The last time she performed, we did not have
mobile phones. Now, 35 years later, as she
performs again, singer Kate Bush sees a very
different world.",0,"The last time she went on stage, the mobile
phone was having its first trials. Thirty-five years
later, as she performs once again, singer Kate
Bush is faced with a different world.",1
"While most concerts are now aglow with phones
and tablets, Bush is taking a stand against fans
watching her shows through the digital veil of
a screen.",2,"These days, most concerts are now lit up with
phones and tablets, but Bush does not want her
fans to watch her shows through a screen.",0
"While most concerts are now aglow with phones
and tablets, Bush is taking a stand against fans
watching her shows through the digital veil of
a screen.",2,"While most concerts are now aglow with phones
and tablets, Bush does not want her fans
watching her shows through a screen.",1
"These days, most concerts are now lit up with
phones and tablets, but Bush does not want her
fans to watch her shows through a screen.",0,"While most concerts are now aglow with phones
and tablets, Bush does not want her fans
watching her shows through a screen.",1
"Prior to her highly anticipated series of concerts
at the Hammersmith Apollo in London, Bush
released a statement appealing to her fans to put
down their mobile phones at her gigs.",2,"In August, before her concerts at the
Hammersmith Apollo in London, Bush asked her
fans to put down their mobile phones at her gigs.",0
"Prior to her highly anticipated series of concerts
at the Hammersmith Apollo in London, Bush
released a statement appealing to her fans to put
down their mobile phones at her gigs.",2,"Before her highly anticipated series of concerts
at the Hammersmith Apollo in London, Bush
released a statement asking her fans to put down
their mobile phones at her gigs.",1
"In August, before her concerts at the
Hammersmith Apollo in London, Bush asked her
fans to put down their mobile phones at her gigs.",0,"Before her highly anticipated series of concerts
at the Hammersmith Apollo in London, Bush
released a statement asking her fans to put down
their mobile phones at her gigs.",1
"Bush wrote on her website: “I have a request for
all of you who are coming to the shows. We have
purposefully chosen an intimate theatre setting
rather than a large venue or stadium. It would
mean a great deal to me if you would please
refrain from taking photos or filming during
the shows.",2,"Bush wrote on her website: “I have a request for
all of you who are coming to the shows. We have
chosen a theatre, not a large venue or stadium.
Please do not take photos or videos during
the shows.",0
"Bush wrote on her website: “I have a request for
all of you who are coming to the shows. We have
purposefully chosen an intimate theatre setting
rather than a large venue or stadium. It would
mean a great deal to me if you would please
refrain from taking photos or filming during
the shows.",2,"Bush wrote on her website: “I have a request for
all of you who are coming to the shows. We have
purposefully chosen an intimate theatre setting
rather than a large venue or stadium. It would
mean a great deal to me if you would please
refrain from taking photos or filming during
the shows.",1
"Bush wrote on her website: “I have a request for
all of you who are coming to the shows. We have
chosen a theatre, not a large venue or stadium.
Please do not take photos or videos during
the shows.",0,"Bush wrote on her website: “I have a request for
all of you who are coming to the shows. We have
purposefully chosen an intimate theatre setting
rather than a large venue or stadium. It would
mean a great deal to me if you would please
refrain from taking photos or filming during
the shows.",1
"“I very much want to have contact with you as an
audience, not with iPhones, iPads or cameras.
I know it’s a lot to ask but it would allow us to all
share in the experience together.”",2,"“I very much want to have contact with you as an
audience, not with iPhones, iPads or cameras.”",0
"“I very much want to have contact with you as an
audience, not with iPhones, iPads or cameras.
I know it’s a lot to ask but it would allow us to all
share in the experience together.”",2,"“I very much want to have contact with you as an
audience, not with iPhones, iPads or cameras.
I know it’s a lot to ask but it would allow us to all
share in the experience together.”",1
"“I very much want to have contact with you as an
audience, not with iPhones, iPads or cameras.”",0,"“I very much want to have contact with you as an
audience, not with iPhones, iPads or cameras.
I know it’s a lot to ask but it would allow us to all
share in the experience together.”",1
"With her love of theatrics and opulent costumes,
Bush’s keenness to stop fans uploading grainy
footage to YouTube could also be an attempt to
keep the show a surprise for the thousands of
fans who have purchased tickets for the 22 dates
she is playing.",2,"Bush is not the first singer or musician to say she
doesn’t like phones at concerts. Roger Daltrey
from The Who recently said it was “weird” that
people looked at their screen and not the artist
on stage.",0
"With her love of theatrics and opulent costumes,
Bush’s keenness to stop fans uploading grainy
footage to YouTube could also be an attempt to
keep the show a surprise for the thousands of
fans who have purchased tickets for the 22 dates
she is playing.",2,"With her love of theatrics and opulent costumes,
Bush’s keenness to stop fans uploading footage
to YouTube could also be an attempt to keep
the show a surprise for the thousands of fans
who have bought tickets for the 22 dates she
is playing.",1
"Bush is not the first singer or musician to say she
doesn’t like phones at concerts. Roger Daltrey
from The Who recently said it was “weird” that
people looked at their screen and not the artist
on stage.",0,"With her love of theatrics and opulent costumes,
Bush’s keenness to stop fans uploading footage
to YouTube could also be an attempt to keep
the show a surprise for the thousands of fans
who have bought tickets for the 22 dates she
is playing.",1
"Bush is not the first to speak out against the
detrimental effect of the presence of phones at
concerts, with numerous artists berating their
fans for experiencing live music through the filter
of a screen.",2,"He said: “I feel sorry for them, I really feel sorry
for them. Looking at life through a screen and not
being in the moment totally – if you’re doing that,
you’re 50% there, right? It’s weird.”",0
"Bush is not the first to speak out against the
detrimental effect of the presence of phones at
concerts, with numerous artists berating their
fans for experiencing live music through the filter
of a screen.",2,"Bush is not the first singer or musician to speak
out against the effect of phones at concerts. The
Who front man Roger Daltrey recently said it was
“weird” that people did not have their mind on
the show when they had gone to a performance
and were concentrating on staring at the screen
rather than the artist on stage.",1
"He said: “I feel sorry for them, I really feel sorry
for them. Looking at life through a screen and not
being in the moment totally – if you’re doing that,
you’re 50% there, right? It’s weird.”",0,"Bush is not the first singer or musician to speak
out against the effect of phones at concerts. The
Who front man Roger Daltrey recently said it was
“weird” that people did not have their mind on
the show when they had gone to a performance
and were concentrating on staring at the screen
rather than the artist on stage.",1
"The Who front man, Roger Daltrey, recently
said it was “weird” that people did not have their
mind on the show when they had gone to a
performance and were concentrating on staring
at the screen rather than the artist on stage.",2,"In 2013, Beyoncé told a fan, “You can’t even sing
because you’re too busy filming. Put that damn
camera down!”",0
"The Who front man, Roger Daltrey, recently
said it was “weird” that people did not have their
mind on the show when they had gone to a
performance and were concentrating on staring
at the screen rather than the artist on stage.",2,"He said: “I feel sorry for them, I really feel sorry
for them. Looking at life through a screen and not
being in the moment totally – if you’re doing that,
you’re 50% there, right? It’s weird. I find it weird.”",1
"In 2013, Beyoncé told a fan, “You can’t even sing
because you’re too busy filming. Put that damn
camera down!”",0,"He said: “I feel sorry for them, I really feel sorry
for them. Looking at life through a screen and not
being in the moment totally – if you’re doing that,
you’re 50% there, right? It’s weird. I find it weird.”",1
"He said: “I feel sorry for them, I really feel sorry
for them. Looking at life through a screen and not
being in the moment totally – if you’re doing that,
you’re 50% there, right? It’s weird. I find it weird.”",2,"Recently, Dutch football fans at PSV Eindhoven
protested against the introduction of wi-fi in their
stadium. They held up banners that said “No wi-fi.
Support the team,” and “You can sit at home.”
Manchester United have also told fans to leave
their “large electronic devices” at home.",0
"He said: “I feel sorry for them, I really feel sorry
for them. Looking at life through a screen and not
being in the moment totally – if you’re doing that,
you’re 50% there, right? It’s weird. I find it weird.”",2,"In 2013, Beyoncé berated one her fans at a gig
for filming. “You can’t even sing because you’re
too busy filming,” Beyoncé told him. “You gotta
seize this moment. Put that damn camera down!”",1
"Recently, Dutch football fans at PSV Eindhoven
protested against the introduction of wi-fi in their
stadium. They held up banners that said “No wi-fi.
Support the team,” and “You can sit at home.”
Manchester United have also told fans to leave
their “large electronic devices” at home.",0,"In 2013, Beyoncé berated one her fans at a gig
for filming. “You can’t even sing because you’re
too busy filming,” Beyoncé told him. “You gotta
seize this moment. Put that damn camera down!”",1
"In 2013, Beyoncé berated one of her fans at a gig
for filming. “You can’t even sing because you’re
too busy taping,” Beyoncé told him. “I’m right in
your face, baby. You gotta seize this moment. Put
that damn camera down!”",2,"Singer Jarvis Cocker said, “It seems stupid
to have something happening in front of you
and look at it on a screen that’s smaller than a
cigarette packet.”",0
"In 2013, Beyoncé berated one of her fans at a gig
for filming. “You can’t even sing because you’re
too busy taping,” Beyoncé told him. “I’m right in
your face, baby. You gotta seize this moment. Put
that damn camera down!”",2,"The debate around phones at live events is not
restricted to music. Recently, Dutch football
fans at PSV Eindhoven protested against the
introduction of wi-fi in their stadium, holding up
banners with messages like “No wi-fi. Support the
team,” “You can sit at home,” and “Stand united”,
while Manchester United have also told fans to
leave their “large electronic devices” at home.",1
"Singer Jarvis Cocker said, “It seems stupid
to have something happening in front of you
and look at it on a screen that’s smaller than a
cigarette packet.”",0,"The debate around phones at live events is not
restricted to music. Recently, Dutch football
fans at PSV Eindhoven protested against the
introduction of wi-fi in their stadium, holding up
banners with messages like “No wi-fi. Support the
team,” “You can sit at home,” and “Stand united”,
while Manchester United have also told fans to
leave their “large electronic devices” at home.",1
